dh_id,filepath
4e9c1cbe-28b8-4221-b6ce-3a4282b81b9f,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/e3/78/b6/e378b63d7dca2d49af6cb6dc72e431404de70b79
ab11ebce-59a2-4e4c-80cc-9242870f3b7d,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/c7/92/68/c79268a8b17d17e00c404b2920833a330a466d4f
e62104fa-e736-4f5d-8583-58026dd103e0,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/c7/92/68/c79268a8b17d17e00c404b2920833a330a466d4f
042bd943-1de0-43ed-90ee-a195caeec4be,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/39/90/d7/3990d7e50b7576f2acb01488add1cc7b5a1dfa9b
5f30d3e7-9a83-43c7-af69-a4344c4bef43,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/ff/5f/f8/ff5ff8f63217a6543d8763c7c956315f4693bdea
32936f7d-dfee-4473-9f53-2456bac10510,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/d9/ca/d4/d9cad4515262385343e8a7d92f3e9fd9248d79b4
7fe1f354-7f98-4840-9988-fd76d0b55c0a,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/bb/f8/73/bbf8731269a1c24c4d63e330d5322d3fa001e4ab
9449d280-4e2d-4a18-8cd3-227d10cbce82,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/86/89/d4/8689d4ab47a4ead9bfcf5eec1bc8894dcc51b927
70754796-c445-43de-9371-7ac1b82d3f4a,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/2c/36/58/2c36580e95f2a857b3db1676c0b7015b4957cff4
c0b5dbe0-3fdf-48a2-98b8-25b4ca975429,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/e5/eb/31/e5eb31fcfee7dde1b947f04add52998385fd1228
5a6036b0-7dc3-4124-be7e-b5d35f97ca82,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/c4/13/0b/c4130b845089472e5afb673e1f9f18a1fc7ebd68
b05609f8-ccab-482b-a5f9-90fbe2824532,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/80/85/fd/8085fd57c269e58044560ca5e7486b00884a8410
9e032690-33d3-4f3a-8100-bcac3cab91c1,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/d6/7c/49/d67c49004a1afc6e55c0017b37fce204a2003025
92fc9f16-fbee-4e1e-9e7e-55c6984ae10a,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/52/2a/10/522a10c0221df352ff1d7d882b2e68f661dbf0f8
1ad27418-7b2f-4206-b77a-b296fe212a9b,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/95/4d/ad/954dad2335d4e432def1e4c4f1472de64d388608
91ff0fa2-5067-472f-a4ff-11e22bc3badf,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/45/f9/ae/45f9ae0fc0cad7eb5a89ee51b08125b3c4b66d82
6d9b0d29-8ef9-4336-b69c-3d161176e848,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/18/77/5d/18775d186c1e164b5e6a081218b68072ded396a8
4c176967-4935-4f5c-b57e-d3ca9156ce44,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/5b/dd/6c/5bdd6cde4e43b5f511c92a859983370daaaf9a22
007d9518-7b27-4291-b34f-834b91905803,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/cd/6b/19/cd6b19950a00f7b3009c5eff62e35f0ccb9e8662
b5067f6c-d461-4855-92f6-5671c2fd664b,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/02/a0/5b/02a05b4f587f1642b7d8e7b0ae2319dfa3eb9efd
bf4d3a16-aad8-4123-ac50-1c84c8de6a75,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/db/1b/2c/db1b2c461da57de8f339601db917cbf6b0cca53d
23ffd974-042e-48e0-888a-c2efc841b4a0,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/67/a2/bb/67a2bb4be7ad6f6fec0d28f57948cf7cddc8b403
ac671b61-f74f-401e-bd34-2cda1e464344,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/1d/fc/7f/1dfc7f6b02e2a66b2935f2fde6e7a9bd37c4b953
224204c9-1145-45a1-8d58-53fb9afa85e2,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/a8/9d/2a/a89d2a65fbd62f0e11d403e14d0a6a45b1b3261f
e16ca396-c36d-45f7-99d7-3fa6b8bb6b6f,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/0d/ef/2e/0def2e5badb812e4ed07df8261a0da237ad2c9d3
07058917-30fd-48de-87c1-3b5ea12f1cc7,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/fe/ae/f5/feaef54a00dd22e014f0dfd2f2932505499f5250
5cbaa793-30ed-4a15-bc24-d53bfa9db95a,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/ba/ca/19/baca198ba4bb8da3e228089c648c6b8a282a78eb
37737ef5-917e-436e-b5ff-b36e4efaeb17,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/b7/ea/44/b7ea44ae14ac45bc0c852dab9ef03ca7d015c127
45027651-0bcc-4f50-b2a3-f600fffb799d,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/87/79/3d/87793da7e6872a66c311a1498febfcef8549f98b
f169c657-a0ac-4188-9c6e-479afc0d9019,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/a5/0d/81/a50d81d73d4676c82e4b5c06a770bc479ee0314f
1c215e9c-00a4-4990-b256-4a12fd7d7793,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/e2/2d/1a/e22d1a14a07aa5712be786d284a737f75ab9a07e
ad184952-ae77-402b-9a1b-5f4786158695,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/09/3a/ac/093aacd59f2916a06af8eaa1f04672fdf0dc0cac
6104deb4-e344-4313-a3fd-65dfa2ea0c17,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/3b/59/4c/3b594c18df6a1a0569c8f6b67e7f7cbd8ee12038
784bcab4-e850-40e2-aec8-8bef1fcf178e,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/2a/b7/03/2ab703b1d4800bd1c68118b13bb103effc444e61
d85443d7-8d81-4bcd-97e8-2cd7bdaf8750,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/b0/47/3e/b0473e8097d3f4aac4506cff69464088c35cd6a0
d2b48b7b-5322-4b1b-ae01-106d73b35263,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/c2/6a/00/c26a00e71e623e1a667712bed1f14166f0f3f3de
a9d4a7d3-39a6-4e11-a760-4b50e9253723,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/22/69/d9/2269d931190556cedd35832d0cb5df65f0b904d5
4a66f30c-c320-4322-b6f2-7ef13432f6fb,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/ee/25/13/ee25139355dc453bd155b0560b7715c807dbb1e3
eee92b49-ad32-41e0-a38b-5abae44b7698,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/80/ac/8f/80ac8f56bd2f39a107e22f408c5621979382a639
68363f3f-187f-4a03-a2f8-cc8b014e29eb,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/72/70/71/72707153bec8e45cba614671d5bbe7f98a87e55d
73ed9ea9-c6e2-42ac-a7d3-ffbeb95627ac,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/3e/64/12/3e641238f784a8cb217632d9b5d8f33b12467777
94707478-a7ce-4cfa-819c-b5d7d69f9f40,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/bf/49/f3/bf49f3938d1923518d40567e8764b1e0b8613b66
ddad6096-0c9e-477b-bb2d-189e3c45e976,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/4a/fc/18/4afc189ec78786b9e13cafdedba9e4c06a1952ae
1343cbc0-7d29-4552-b500-fcc788a6111f,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/19/ac/de/19acdeae023cea18802d314b3c99446bb71499f6
a4705759-07ab-4396-86b6-b6c8eb524cc1,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/e3/78/b6/e378b63d7dca2d49af6cb6dc72e431404de70b79
13a2fc38-231f-492f-b9d6-706bafaa960c,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/d2/5d/b6/d25db654918dac8a7cfbe1ffcd83119ae178fcd0
04c06aec-094f-42f7-9d4d-17785a4b4b36,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/ff/3f/e9/ff3fe9f5f8681a2a8671774c50182303923189a7
80ac5f95-808d-4076-994b-03d34dac70e3,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/9a/5a/f4/9a5af4a5e7957f851d6fe92307dd4759b378f579
b2a22378-969e-4b68-a489-c879080f349e,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/8d/95/6a/8d956a76459dfedd93449d8f1009d9c124b0207d
73b2e1f3-bd92-4f17-9227-87d5332cc750,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/11/c8/e2/11c8e24ec34dfa8d0506fa8bed671bbe895a1d0f
6b644aa5-05ba-4548-a8e9-4798ce5d9a34,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/18/5d/c6/185dc68b5dd34c52ae9bb618b025f5c9d319dbd7
049a0c98-ede2-480b-9572-8b6994795662,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/95/dc/e3/95dce3a0a0c6070786b962af5d2855201be5a224
8bc2572a-66b7-47eb-9d54-00bc4b4c7483,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/00/04/28/000428e4bedea882db095893736f81d8cd937a73
05ac8d09-fa28-4126-bd09-9add47ab3122,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/ee/a5/e8/eea5e80a7e635655c2d99c050e95d9488b274b8c
f954839c-1e49-411a-9c46-9140a8d50ae1,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/3a/c8/68/3ac8686eabe4f1783763524847901a836ae9285e
1ef82686-ab34-4025-ad33-4a3a710ff756,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/dd/d3/e4/ddd3e468bd2c1e0897632f7dcc71b1a95286ee9f
1b7fbeb2-fc9c-4ac8-95e2-bef9d4d8945d,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/e8/63/29/e86329dea56889552e5c14f07b321349bafaa418
3ec097aa-f89d-49ad-814d-eed7361470d8,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/a4/96/11/a496119df37c299bcc9d89a7e58456e3db303f38
4039bb6f-cbc3-4228-9650-a4fdac2cbf40,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/60/3d/4c/603d4c06782456d7f450b074238ce6848a5f809f
aa0181a0-71c4-49fd-b041-0b2148d3fc6b,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/c7/92/68/c79268a8b17d17e00c404b2920833a330a466d4f
8e8bede3-59f9-43a0-9aff-d8b3fde7de21,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/00/76/6f/00766fc9ebbbf6b403cb2a55459f69beb616055d
3105875f-61e1-412c-9b1c-c8a33b37ff35,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/ff/c8/ce/ffc8ce6e3c8924dc200d70a8637a0c30c1a3af9a
348a273d-c0b2-4698-8369-820c8a6ebd5a,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/43/1f/7c/431f7c4e2ed954c0fcaa614f149aaad7e6752cee
b5693253-0cff-457a-9e0d-af9b2dc3024a,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/ef/a7/f1/efa7f1ac2d2c79a3c15dca5a5829a3cee749dc98
a29256cd-b0da-4a5e-832e-e39a8828653f,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/42/17/70/421770d3d3be2d1456decd0d5fd28cf1514fc812
d3a0585c-273a-45ca-956f-7a12fbad53fb,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/f2/f1/70/f2f17034026c8c155a5898df3e1878ae00b9cc04
9cd9e3df-458c-4a2c-9e42-1dcdc95e7adf,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/09/e7/ff/09e7ffd4bd2ce6c7b41b82e6eb67e7bc93122095
0ac6b95f-d3b9-4f9e-8520-97906f5ac1f9,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/cd/cb/66/cdcb667b763d40f93b6818432550698a53f62d20
fa5bd3b5-2277-4aee-a79b-df94d906d1bd,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/bd/d2/42/bdd2423f9f3c39b037b6fcb5aa2f4f5a268aca99
73f0593c-9b8a-48e9-a40c-04ebacd6113f,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/8c/45/c0/8c45c003a4d150e7750c331b093c25298df0656e
e98fe3e2-8457-4a3f-bad7-5684f7c00174,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/15/2b/ba/152bbab6f1992dcaae60b71fcedca56af733fa8b
47441a88-95d5-4719-bebf-3fbae39d1d00,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/32/72/f6/3272f6150503381eecd5e6c0a715e3344c66de65
2edd1342-25c4-4ffa-9a14-e493d0322913,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/57/24/4a/57244a5c18ad45841c3a36773d5fba0138c38cd8
2beb130b-78ed-4be8-b592-e4c71c8c8fcc,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/60/d6/d6/60d6d6ff4964f533e775f3068de873332c3b6bc8
3ea63b56-4d88-4104-ac54-b19176d5457f,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/78/29/15/782915ef74e56586fab2ff224b5397eed298a7d5
70516473-65fd-4cb9-b298-54419704b1c9,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/72/9f/cb/729fcb128de8b30735daf71fa232c08c8b34de11
ab4fd3b0-fad7-4aae-8d98-b1f038e85d0e,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/ec/3c/d9/ec3cd98fc5bf6f31256fff2f1128af6d0af195e1
8eef9af2-66e7-4dee-b828-6a4b9810f77f,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/0f/c1/db/0fc1db578e00bb6a4a7e89b74023995deefc84b2
353afbe1-6cc4-4e96-8e54-9ba926225f19,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/12/06/7f/12067fbe312e0781ae80c5dd86dcda2e51cae653
6f3517f1-8e43-447f-88c1-c29c9e80800b,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/15/88/c0/1588c09e5ee6902cf8065e807dc8d1b84f0732ac
b2404cba-84c4-4dff-928a-946354364d0f,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/1d/83/06/1d83069cd12e8d684a60c284d11cf860e135863b
cd72eaed-1f96-4c72-8b7a-d99cfc9c450f,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/13/70/f6/1370f687577f5d794e6b4ebd41efa04257bc3e54
1ead3531-df29-49ec-9121-ad99d7d088db,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/c9/79/9d/c9799dc0b1cb09d45c4ae997e3f715d32b1dbe10
ec297aa7-85f2-4ce8-863a-d1ce501c8c9c,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/7e/e5/17/7ee5172234df1e26f4a5da0d71e3d1ad9ba8a0d0
h702q641c,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/8a/98/92/8a98923017681ac28066cb9ddf97bce849ba3a03
01e3c931-cd08-45b5-b1c0-9e7e53a07cfd,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/89/09/1c/89091c13d57ddcd224a565ff143d8002501d4f76
a2e5347f-30e5-4632-8b58-66691241eb80,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/cf/ea/24/cfea244da887d196d35641e8fdfa55d8b0da837a
4f56c607-2e8c-4f77-8598-f9f351f7b04c,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/e7/af/d3/e7afd3acd0af8ec0da3e83f8cd3da3081772a08e
5339ff3b-a686-431c-8c81-ffaf277d7c43,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/33/01/14/3301149680c117cce7fb4ce8da5062c219341030
e87a9aa2-1409-46be-b947-858777fc2638,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/ea/8b/fe/ea8bfeb0bb3dc54e1b808487740fd295b5cbff39
baa3a971-22ed-4095-b369-b335ef983fba,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/48/12/03/4812034c735129cbce8fa2fd8171318f28454b10
1ffdbd34-4725-47d9-bf3f-286251cdd121,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/5d/69/00/5d690001e37ebbec57c5ca5dcee5d7472badfae0
d2058013-3c9d-4cb5-acc5-cdad24d772f4,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/df/25/e7/df25e7b2b531267483c1f02aa444fdc5ead18085
776b2b35-28d3-42d9-9465-84acdc1d77fe,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/64/1a/4e/641a4ecdd0c92d94cb8aa417473f40788a8f49ab
62e93429-d969-4e08-89b3-d2be684c4911,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/78/2b/2a/782b2a4854d496dca47b6f1e873424bdabb0361d
dc9b1e88-61de-421d-8366-1fa6f3b027ce,/var/www/apps/galter_hydra_jetty/shared/fcrepo4-data/fcrepo.binary.directory/a7/ff/25/a7ff259e6c84ad8f49f18cfe26b28bc494f49faf
